gene_symbol,entrez_id,marker_annotation,expression_level,V1_pattern,V2_pattern
COL6A1,1291,layer 5,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 5,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 6,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 6,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 6,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 6,++++,ubiquitous,"ubiquitous(3,4)"
COL9A3,1299,NA,+++,scattered,scattered
COMT,1312,NA,+++,ubiquitous,ubiquitous
CORT,1325,interneuron,++++,sparse,sparse
COX6A2,1339,NA,++++,scattered+ubiquitous,scattered+ubiquitous
COX8A,1351,NA,++++,scattered+ubiquitous,scattered+ubiquitous
CPLX3,594855,interneuron,++++,"scattered(1,6)",scattered
CPNE7,27132,interneuron,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,interneuron,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,interneuron,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 5,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 5,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 5,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 6,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 6,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 6,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPOX,1371,NA,+++,ubiquitous,ubiquitous
CRBN,51185,NA,+++,ubiquitous,ubiquitous
CREB1,1385,NA,++,ubiquitous,ubiquitous
CRH,1392,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
CRHBP,1393,interneuron,+++,scattered,scattered
CRHR1,1394,NA,+++,"ubiquitous(2/3,4)",ubiquitous(2/3/4)
CRHR2,1395,NA,++++,"layer(3),4+scattered","scattered(3,4)"
CRYM,1428,layer 2,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 2,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 2,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 2,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 3,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 3,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 3,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 3,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 5,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 5,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 5,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 5,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 6,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 6,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 6,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 6,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CSMD1,64478,NA,+++,ubiquitous,ubiquitous
CSNK1D,1453,NA,+++,scattered+ubiquitous,scattered+ubiquitous
CSRP1,1465,oligodendrocyte,++++,scattered+oligodendrocyte,scattered+oligodendrocyte
CST3,1471,astrocyte,+++++,scattered+glial,scattered+glial
CSTB,1476,NA,++,ubiquitous,ubiquitous
CCN2,1490,layer 6,+++++,layer 6(b)+scattered,layer 6(b)+scattered
CTNNB1,1499,NA,+++,"layer 2/3,4C,5/6","ubiquitous(3d,4)"
CTNND2,1501,NA,+++,ubiquitous,ubiquitous
CTSB,1508,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
CUX1,1523,NA,++++,"layer 2/3,4,6","layer 2/3,6"
CUX2,23316,layer 2,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 2,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 2,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 3,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 3,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 3,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 4,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 4,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 4,++++,"layer 2/3,4",layer 2/3(4)
CXCL12,6387,NA,-,none,none
CXCL14,9547,layer 1,+++++,scattered(1),scattered(1)
CXCL14,9547,layer 1,+++++,scattered(1),scattered(1)
CXCL14,9547,layer 1,+++++,scattered(1),scattered(1)
CXCL14,9547,layer 1,+++++,scattered(1),scattered(1)
CXCL14,9547,layer 2,+++++,scattered(1),scattered(1)
CXCL14,9547,layer 2,+++++,scattered(1),scattered(1)
CXCL14,9547,layer 2,+++++,scattered(1),scattered(1)
CXCL14,9547,layer 2,+++++,scattered(1),scattered(1)
CXCL14,9547,interneuron,+++++,scattered(1),scattered(1)
CXCL14,9547,interneuron,+++++,scattered(1),scattered(1)
CXCL14,9547,interneuron,+++++,scattered(1),scattered(1)
CXCL14,9547,interneuron,+++++,scattered(1),scattered(1)
CXCL14,9547,astrocyte,+++++,scattered(1),scattered(1)
CXCL14,9547,astrocyte,+++++,scattered(1),scattered(1)
CXCL14,9547,astrocyte,+++++,scattered(1),scattered(1)
CXCL14,9547,astrocyte,+++++,scattered(1),scattered(1)
CYP26B1,56603,NA,+++,"layer 2/3,(4C),5/6",ubiquitous(4)
CYP39A1,51302,NA,-,none,layer 3d
CCN1,3491,layer 6,+++++,"sparse+layer 6(2/3,5)","sparse+layer 6(2/3,5)"
CCN1,3491,layer 6,+++++,"sparse+layer 6(2/3,5)","sparse+layer 6(2/3,5)"
CCN1,3491,layer 6,+++++,"sparse+layer 6(2/3,5)","sparse+layer 6(2/3,5)"
CCN1,3491,interneuron,+++++,"sparse+layer 6(2/3,5)","sparse+layer 6(2/3,5)"
CCN1,3491,interneuron,+++++,"sparse+layer 6(2/3,5)","sparse+layer 6(2/3,5)"
CCN1,3491,interneuron,+++++,"sparse+layer 6(2/3,5)","sparse+layer 6(2/3,5)"
CCN1,3491,astrocyte,+++++,"sparse+layer 6(2/3,5)","sparse+layer 6(2/3,5)"
CCN1,3491,astrocyte,+++++,"sparse+layer 6(2/3,5)","sparse+layer 6(2/3,5)"
CCN1,3491,astrocyte,+++++,"sparse+layer 6(2/3,5)","sparse+layer 6(2/3,5)"
DAO,1610,NA,+,ubiquitous,ubiquitous
DAOA,267012,NA,-,none,none
DBH,1621,NA,+,ubiquitous,ubiquitous
DBN1,1627,NA,+++++,ubiquitous,ubiquitous
DCX,1641,NA,-,none,none
DDC,1644,NA,+,ubiquitous,ubiquitous
DDIT4L,115265,NA,-,none,none
DDT,1652,NA,+++,scattered+ubiquitous,scattered+ubiquitous
DDX11,1663,NA,++++,ubiquitous,ubiquitous
DECR1,1666,NA,+,ubiquitous,ubiquitous
DEPTOR,64798,NA,++,scattered,scattered
WHRN,25861,NA,++,ubiquitous,ubiquitous
DHCR7,1717,NA,++,ubiquitous,ubiquitous
DHX9,1660,NA,+++,ubiquitous,ubiquitous
DISC1,27185,layer 1,-,none,layer 1+
DKC1,1736,NA,++,ubiquitous,ubiquitous
DKK3,27122,NA,+++++,"ubiquitous(2/3,4C,5/6)","ubiquitous(2/3,5/6)"
DLEC1,9940,NA,+,ubiquitous,ubiquitous
DLG1,1739,NA,++++,ubiquitous,ubiquitous
DLG2,1740,NA,+++,"ubiquitous(2/3,5/6)",ubiquitous
DLG3,1741,NA,+++,"ubiquitous(2/3,5/6)",ubiquitous
DLG4,1742,NA,+++++,ubiquitous,ubiquitous
DLG5,9231,NA,++++,ubiquitous(4C),ubiquitous(4)
DLGAP1,9229,NA,+++++,ubiquitous,ubiquitous
DLGAP2,9228,NA,++++,ubiquitous,ubiquitous
DLX1,1745,interneuron,+++,scattered,scattered
DLX5,1749,NA,++,ubiquitous,ubiquitous
DPP6,1804,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
DRD1,1812,NA,+++,"layer 2,6","layer 2,6"
DRD3,1814,NA,-,none,none
DRD5,1816,NA,+,layer 5/6,"layer 5,6"
DSG1,1828,NA,-,none,none
DTNA,1837,NA,++++,"scattered+ubiquitous(2/3,4C,5/6)",scattered+ubiquitous
DTNBP1,84062,NA,+,ubiquitous,ubiquitous
DVL1,1855,NA,+++,ubiquitous,ubiquitous
DYM,54808,NA,+++,ubiquitous,ubiquitous
DYNC1I2,1781,NA,++++,ubiquitous,ubiquitous
DNAAF4,161582,NA,-,none,none
ECE2,9718,NA,+++,scattered(2/3),scattered(2/3)
EDNRA,1909,NA,++,scattered,scattered
EDNRB,1910,NA,+,ubiquitous,ubiquitous
EN2,2020,NA,++,scattered+ubiquitous,scattered+ubiquitous
ENC1,8507,NA,+++++,"ubiquitous(2/3,4C,5/6)","ubiquitous(2/3,5/6)"
ENDOD1,23052,NA,+++,scattered+oligodendrocyte,scattered+oligodendrocyte
EPHA6,285220,NA,+++,"scattered(2/3,5/6)",scattered
ERBB3,2065,NA,+++++,ubiquitous,ubiquitous
ERBB4,2066,interneuron,+++++,scattered,scattered
ERCC2,2068,NA,+++,scattered+ubiquitous,scattered+ubiquitous
ERCC3,2071,NA,+++,scattered+ubiquitous,scattered+ubiquitous
ERCC5,2073,NA,+++,scattered+ubiquitous,scattered+ubiquitous
ESCO2,157570,NA,+++++,ubiquitous,ubiquitous
ESR1,2099,NA,-,none,none
ESR2,2100,NA,-,none,none
ETV1,2115,layer 5,++,"layer 4C,5/6","layer 4,5,6"
ETV1,2115,layer 5,++,"layer 4C,5/6","layer 4,5,6"
ETV1,2115,layer 6,++,"layer 4C,5/6","layer 4,5,6"
ETV1,2115,layer 6,++,"layer 4C,5/6","layer 4,5,6"
EXT1,2131,NA,+++,"ubiquitous(2/3,4C,5/6)",ubiquitous
EYA4,2070,astrocyte,+++,layer 4C+scattered,scattered
EYA4,2070,astrocyte,+++,layer 4C+scattered,scattered
EYA4,2070,interneuron,+++,layer 4C+scattered,scattered
EYA4,2070,interneuron,+++,layer 4C+scattered,scattered
FABP7,2173,NA,-,none,none
FAM111A,63901,NA,-,none,none
FAM111B,374393,NA,-,none,none
FAM20A,54757,NA,-,none,none
FAM3C,10447,layer 5,++++,"layer 2/3,4C,5/6",ubiquitous(5s)
TENT5A,55603,interneuron,++++,scattered,scattered
FEZ1,9638,NA,+++++,ubiquitous,ubiquitous
FGD1,2245,NA,++,ubiquitous,ubiquitous
FGF1,2246,NA,++,scattered+ubiquitous,scattered+ubiquitous
FGF14,2259,NA,++,scattered+ubiquitous,scattered+ubiquitous
FGF2,2247,NA,+,sparse to none,sparse to none
FGF9,2254,NA,+++,scattered+ubiquitous,scattered+ubiquitous
FGFR1,2260,NA,++++,scattered(5/6),scattered(5/6)
FGFR2,2263,NA,+++,scattered+ubiquitous,scattered+ubiquitous
FMR1,2332,NA,++,ubiquitous,ubiquitous
FOXP2,93986,layer 6,+++,layer 6,"layer 4,5,6"
FRA10AC1,118924,NA,++,ubiquitous,ubiquitous
FST,10468,NA,-,none,none
FTSJ1,24140,NA,+++,scattered+ubiquitous,scattered+ubiquitous
FXYD6,53826,layer 2,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 2,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 2,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 2,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 3,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 3,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 3,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 3,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 5,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 5,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 5,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 5,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 6,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 6,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 6,+++++,"layer 23/,5/6","ubquitous(5,6)"
FXYD6,53826,layer 6,+++++,"layer 23/,5/6","ubquitous(5,6)"
FYN,2534,NA,++++,scattered+ubiquitous,scattered+ubiquitous
GABARAP,11337,NA,+++,scattered+ubiquitous,ubiquitous
GABARAPL1,23710,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
GABARAPL2,11345,NA,+++,scattered+ubiquitous,ubiquitous
GABBR1,2550,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
GABBR2,9568,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
GABRA1,2554,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
GABRA2,2555,NA,+,sparse to none,sparse to none
GABRA3,2556,NA,++,"layer 2/3,4C,5/6",ubiquitous
GABRA4,2557,NA,+++,ubiquitous,ubiquitous
GABRA5,2558,layer 5,+++++,"layer 5,6,6b","layer 5,6,6b"
GABRA5,2558,layer 5,+++++,"layer 5,6,6b","layer 5,6,6b"
GABRA5,2558,layer 5,+++++,"layer 5,6,6b","layer 5,6,6b"
GABRA5,2558,layer 6,+++++,"layer 5,6,6b","layer 5,6,6b"
GABRA5,2558,layer 6,+++++,"layer 5,6,6b","layer 5,6,6b"
GABRA5,2558,layer 6,+++++,"layer 5,6,6b","layer 5,6,6b"
GABRA5,2558,layer 6,+++++,"layer 5,6,6b","layer 5,6,6b"
GABRA5,2558,layer 6,+++++,"layer 5,6,6b","layer 5,6,6b"
GABRA5,2558,layer 6,+++++,"layer 5,6,6b","layer 5,6,6b"
GABRA6,2559,NA,-,none,sparse to none
GABRB1,2560,NA,++,"ubiquitous(2/3,6)","ubiquitous(2/3,6)"
GABRB2,2561,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
GABRB3,2562,NA,+++,ubiquitous,ubiquitous
GABRD,2563,NA,+++++,"scattered+ubiquitous(2/3,4)",scattered+ubiquitous(2/3)
GABRE,2564,NA,-,none,none
GABRG1,2565,NA,+,sparse to none,layer 4
GABRG2,2566,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
GABRG3,2567,NA,+++,"scattered+ubiquitous(4C,5/6)",scattered+ubiquitous
GABRP,2568,NA,-,none,none
GABRQ,55879,NA,-,none,none
GABRR1,2569,NA,-,none,none
GABRR2,2570,NA,-,none,none
GABRR3,200959,NA,-,none,none
GAD1,2571,interneuron,+++++,scattered,scattered
GAD2,2572,interneuron,+++++,scattered,scattered
GALR2,8811,NA,+,ubiquitous,ubiquitous
GAP43,2596,NA,+++++,ubiquitous,ubiquitous
GDI1,2664,NA,+++++,ubiquitous,ubiquitous
GFAP,2670,oligodendrocyte,++++,scattered+oligodendrocyte,scattered+oligodendrocyte
GIPR,2696,NA,+,ubiquitous,ubiquitous
GJA1,2697,astrocyte,++++,scattered+glial,scattered+glial
GLO1,2739,NA,++,ubiquitous,ubiquitous
GLRA1,2741,NA,+++,sparse,sparse
GLRA2,2742,NA,+,sparse to none,sparse to none
GLRA3,8001,layer 2,+++,"layer(2/3),4C",ubiquitous(2/3)
GLRB,2743,NA,++++,ubiquitous,ubiquitous
GLUD2,2747,NA,+,ubiquitous,ubiquitous
GM2A,2760,NA,++,ubiquitous,ubiquitous
GMPR,2766,NA,-,none,sparse to none
GNB4,59345,NA,+,sparse to none,sparse to none
GNG7,2788,NA,+++,ubiquitous(6),ubiquitous
GNRHR,2798,NA,+,ubiquitous,ubiquitous
GOSR1,9527,NA,++,ubiquitous,ubiquitous
GPHN,10243,NA,++,ubiquitous,ubiquitous
GPR101,83550,NA,+,ubiquitous,ubiquitous
ADGRF5,221395,NA,++,scattered+VEC?,scattered+VEC?
GPR12,2835,NA,++,layer 4C,ubiquitous
GPR156,165829,NA,+,ubiquitous,ubiquitous
GPR161,23432,NA,++,"ubiquitous(2/3,6)",ubiquitous
GPR173,54328,NA,+,sparse to none,sparse to none
GPR176,11245,NA,++,scattered,scattered
GPR19,2842,NA,+,ubiquitous,ubiquitous
GPR22,2845,NA,+,ubiquitous,ubiquitous
GPR3,2827,NA,+,sparse to none,sparse to none
GPR37,2861,NA,++++,scattered,scattered
GPR50,9248,NA,+,sparse to none,sparse to none
ADGRG1,9289,astrocyte,+++,scattered+astrocyte,scattered+astrocyte
GPR6,2830,NA,+,ubiquitous,ubiquitous
GPR78,27201,NA,++++,sparse(6b),sparse(6b)
GPR83,10888,NA,++,scattered,scattered
GPR85,54329,NA,+++,scattered+VEC,scattered+VEC
GPR88,54112,NA,-,none,none
ADGRV1,84059,astrocyte,++++,"layer 1+scattered(2/3,6)","layer 1+scattered(2/3,6)"
GPRIN3,285513,NA,-,none,none
GRB2,2885,NA,+++,"ubiquitous(2/3,4C,5/6)",ubiquitous
GRIA1,2890,NA,++++,"layer 5/6,(2/3)+scattered","layer 5/6,(2/3)+scattered"
GRIA2,2891,NA,+++++,ubiquitous,ubiquitous
GRIA3,2892,NA,+++++,"layer 2/3,4C,5/6","ubiquitous(2/3,5/6)"
GRIA4,2893,NA,++++,scattered+ubiquitous,scattered+ubiquitous
GRID1,2894,NA,++,ubiquitous,ubiquitous
GRID2,2895,NA,+,sparse to none,sparse to none
GRIK1,2897,interneuron,+++++,scattered,scattered
GRIK2,2898,NA,++++,"scattered+2/3,4C,5/6","scattered+2/3,5,6"
GRIK3,2899,NA,++++,scattered+layer 5/6,"scattered+layer(5),6"
GRIK4,2900,layer 4,++++,"layer 4C,6,(2)","ubiquitous(2,6)"
GRIK4,2900,layer 4,++++,"layer 4C,6,(2)","ubiquitous(2,6)"
GRIK4,2900,layer 6,++++,"layer 4C,6,(2)","ubiquitous(2,6)"
GRIK4,2900,layer 6,++++,"layer 4C,6,(2)","ubiquitous(2,6)"
GRIK5,2901,NA,+++,ubiquitous,ubiquitous
GRIN1,2902,NA,+++++,ubiquitous,ubiquitous
GRIN2A,2903,NA,+++++,ubiquitous,ubiquitous
GRIN2B,2904,NA,+++,ubiquitous,ubiquitous
GRIN2C,2905,NA,+++,layer 4C+scattered,ubiquitous
GRIN2D,2906,NA,++++,ubiquitous,ubiquitous
GRIN3A,116443,interneuron,++++,scattered,scattered
GRIN3A,116443,interneuron,++++,scattered,scattered
GRIN3A,116443,interneuron,++++,scattered,scattered
GRIN3A,116443,layer 5,++++,scattered,scattered
GRIN3A,116443,layer 5,++++,scattered,scattered
GRIN3A,116443,layer 5,++++,scattered,scattered
GRIN3A,116443,layer 6,++++,scattered,scattered
GRIN3A,116443,layer 6,++++,scattered,scattered
GRIN3A,116443,layer 6,++++,scattered,scattered
GRIN3B,116444,NA,+,ubiquitous,ubiquitous
GRINA,2907,NA,+++++,ubiquitous,ubiquitous
POLR2M,81488,NA,++,ubiquitous,ubiquitous
GRIP1,23426,NA,+++,scattered,scattered
GRIP2,80852,NA,++++,scattered,scattered
GRM1,2911,NA,+++,"scattered+layer 2/3,5/6","scattered+layer 2/3,5,6"
GRM2,2912,NA,++,"scattered(2/3,5/6)","scattered(2/3,5/6)"
GRM3,2913,NA,+++,scattered+ubiquitous,scattered+ubiquitous
GRM4,2914,NA,+++,"layer 4C,(6)+scattered",scattered
GRM6,2916,NA,-,none,none
GRM7,2917,NA,+++,"layer 2,3,4","layer 2,3,4"
GRM8,2918,NA,+,sparse to none,sparse to none
GRPR,2925,NA,+,sparse to none,sparse to none
GSG1L,146395,layer 2,++,layer 6(2/3),layer 6(2/3)
GSG1L,146395,layer 2,++,layer 6(2/3),layer 6(2/3)
GSG1L,146395,layer 3,++,layer 6(2/3),layer 6(2/3)
GSG1L,146395,layer 3,++,layer 6(2/3),layer 6(2/3)
GSK3B,2932,NA,++++,scattered+ubiquitous,scattered+ubiquitous
GSN,2934,oligodendrocyte,+++++,oligodendrocyte,oligodendrocyte
GTF2H2C,728340,NA,+++,ubiquitous,ubiquitous
GTF2I,2969,NA,+++++,ubiquitous,ubiquitous
GXYLT2,727936,NA,+,ubiquitous,ubiquitous
HAPLN1,1404,NA,+,ubiquitous,ubiquitous
HBD,3045,vascular endothelial cell,+++++,VEC,VEC
HCN1,348980,NA,++++,scattered+ubiquitous,scattered+ubiquitous
HCN2,610,NA,++++,scattered,scattered
HCN3,57657,NA,-,none,none
HCN4,10021,NA,+++++,ubiquitous,ubiquitous
HCRTR1,3061,NA,+++,scattered,scattered
HCRTR2,3062,NA,++,ubiquitous(6),ubiquitous(6)
HOMER1,9456,NA,++++,"layer(2/3),5/6",ubiquitous
HPSE,10855,NA,++,scattered(4C),sparse
HRH1,3269,NA,-,none,none
HRH4,59340,NA,-,none,none
HSD11B1,3290,NA,+++,scattered,scattered
HSPG2,3339,NA,+++,ubiquitous(4C),scattered
HTR1A,3350,NA,+++,"ubiquitous(2/3,4C,5/6)",ubiquitous(2/3)
HTR1B,3351,NA,+++,layer 4C+,ubiquitous(3)
HTR1D,3352,NA,+,ubiquitous,ubiquitous
HTR1E,3354,NA,++,ubiquitous,ubiquitous
HTR1F,3355,NA,++,"ubiquitous(2/3,4C,5/6)",ubiquitous
HTR2A,3356,NA,++++,ubiquitous(4C),ubiquitous
HTR2B,3357,NA,-,none,none
HTR2C,3358,layer 5,+++,sparse(5),layer 5
HTR3A,3359,NA,+,ubiquitous,ubiquitous
HTR4,3360,NA,-,none,none
HTR5A,3361,NA,+,ubiquitous,ubiquitous
HTR6,3362,NA,+++,ubiquitous,ubiquitous
HTR7,3363,NA,+,ubiquitous,ubiquitous
